name,points,connection_type,kW,cost,address,postcode,operator,website,email,updated,area_code,area_name,lon,lat
Manchester Airport Marriott Hotel,2,Type 2 (Socket Only),7,£10 plus parking fee,"Hale Road, Hale Barns, Altringham, Cheshire",WA15 8XW,Zero Carbon World,http://zerocarbonworld.org/,info@zerocarbonworld.com,2019-05-15T11:31:00Z,E08000009,Trafford,-2.2978289999999997,53.364216
Manchester Airport Marriott Hotel,2,BS1363 3 Pin 13 Amp,3,£10 plus parking fee,"Hale Road, Hale Barns, Altringham, Cheshire",WA15 8XW,Zero Carbon World,http://zerocarbonworld.org/,info@zerocarbonworld.com,2019-05-15T11:31:00Z,E08000009,Trafford,-2.2978289999999997,53.364216
"ASDA Superstore, Altrincham",4,Type 2 (Socket Only),7,Inclusive; for Polar Plus subscription members only,"Atlantic Street, Altrincham, Greater Manchester",WA14 5FY,BP Pulse (UK),https://www.bppulse.co.uk/,NA,2019-03-07T06:23:00Z,E08000009,Trafford,-2.369258,53.397034
Flixton Road Railway Station Car Park,1,Type 2 (Socket Only),7,Free,"Flixton Road Railway Station Car Park, Urmston, Manchester",M41 6EY,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2020-03-28T06:14:00Z,E08000009,Trafford,-2.38414915554586,53.444149673307095
GMEV PAYG Charge Point,NA,Type 2 (Socket Only),7,NA,"Moorside Road, Manchester",M41 5SJ,Be.EV,https://be-ev.co.uk/,support@be-ev.co.uk,2023-05-04T08:52:00Z,E08000009,Trafford,-2.370709,53.45209100000001
GMEV PAYG Charge Point,NA,Type 2 (Socket Only),7,NA,"Moorside Road, Manchester",M41 5SJ,Be.EV,https://be-ev.co.uk/,support@be-ev.co.uk,2023-05-04T08:52:00Z,E08000009,Trafford,-2.370709,53.45209100000001
Trafford General Hospital,2,Type 2 (Socket Only),7,Free,"Trafford General Hospital, Moorside Rd, Manchester",M41 5SL,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2019-10-12T05:14:00Z,E08000009,Trafford,-2.37023,53.45253
Ducati Manchester,2,Tesla (Model S/X),11,NA,Ducati Manchester,M33 7AR,Tesla (Tesla-only charging),http://www.teslamotors.com,NA,2018-10-03T16:47:00Z,E08000009,Trafford,-2.3187620000000004,53.43053199999999
Tesco Superstore-Sale,4,Type 2 (Socket Only),7,£0.44/kWh,"Hereford Street, Sale",M33 7XN,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2023-04-16T05:20:00Z,E08000009,Trafford,-2.324096,53.42447
Tesco Superstore-Sale,4,Type 2 (Socket Only),7,£0.44/kWh,"Hereford Street, Sale",M33 7XN,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2023-04-16T05:20:00Z,E08000009,Trafford,-2.324096,53.42447
The Belmore At Sale,2,Tesla (Model S/X),22,NA,"143 Brooklands Road, Sale, Cheshire",M33 3QN,Tesla (Tesla-only charging),http://www.teslamotors.com,NA,2018-10-03T21:32:00Z,E08000009,Trafford,-2.3198900000000005,53.412376
Environment Agency Manchester,2,Type 2 (Socket Only),7,1,"Mirwell House, Carrington Lane, Sale, Cheshire",M33 5NL,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-02T19:36:00Z,E08000009,Trafford,-2.3544780000000003,53.43125500000001
Environment Agency Manchester,2,BS1363 3 Pin 13 Amp,3,1,"Mirwell House, Carrington Lane, Sale, Cheshire",M33 5NL,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2019-05-02T19:36:00Z,E08000009,Trafford,-2.3544780000000003,53.43125500000001
Westway Altrincham Nissan,1,CHAdeMO,50,Free,"264 Manchester Road, Altrincham, Cheshire",WA14 5LZ,Nissan UK Dealer Network,http://www.nissan.co.uk,NA,2017-04-06T03:37:00Z,E08000009,Trafford,-2.3499465,53.403423499999995
Best Western Cresta Court Hotel,1,Type 2 (Socket Only),7,,"Church Street, Altrincham, Cheshire",WA14 4DP,Zero Carbon World,http://zerocarbonworld.org/,info@zerocarbonworld.com,2015-04-24T12:11:00Z,E08000009,Trafford,-2.3509280000000667,53.39104099999999
The Crown Estate-Altrincham Retail Park,2,Type 2 (Socket Only),7,Free,"George Richards Way, Cheshire",WA14 5GR,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2022-08-15T18:38:00Z,E08000009,Trafford,-2.356234,53.39958500000001
Regent Road Car Park,NA,Type 2 (Socket Only),7,NA,"Regent Road, Altrincham",WA14 1RY,BP Pulse (UK),https://www.bppulse.co.uk/,NA,2023-05-04T09:50:00Z,E08000009,Trafford,-2.3541040000000004,53.386784000000006
Regent Road,3,Type 2 (Socket Only),7,Free,"Regent Road, Altrincham",WA14 1RY,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2020-06-03T05:13:00Z,E08000009,Trafford,-2.352044,53.385641
Regent Road,3,Type 2 (Socket Only),7,Free,"Regent Road, Altrincham",WA14 1RY,Charge Your Car,http://www.chargeyourcar.org.uk/,admin@chargeyourcar.org.uk,2020-06-03T05:13:00Z,E08000009,Trafford,-2.352044,53.385641
